unmapped_district
DOHAD
BENGALURU URBAN
KARIMNAGAR DISTRICT
NAGAUR RAJASTHAN
EAST GODAVARI DISTRICT
BANDIPORE
BASIRHAT
BHABUA
RAMBAN
KARIMNAGAR
PANCHSHEEL NAGAR
BENGALURU
BANGALORE URBAN
DIU
COIMBATORE TIRUPPUR
SERAIKELA KHARSAWAN WEST SINGHBHUM
KAVARATTI
RANGA REDDY
BUDGAM
KADAPA DISTRICT
SHEOPURKALAN
SAMBA
KUPWARA
TIRUNELVELI SANKARANKOVIL
KARBIANGLONG DIPHU
UDHAGAMANDALAM
MEDINIPUR WEST
WEST SINGHBHUM
PUNCH
SHUPIYAN
NORTH WEST
WEST DELHI
NIZAMABAD
ANANTNAG
MEHSANA
PURNEA
SRI GANGANAGAR
KANPUR
SANT RAVIDAS NAGAR
BADGAM
GANDERBAL
LEH
SAMBAJAMMU AND KASHMIR
KHURDA
CANNANORE KANNUR
CHIKKABALLAPUR
WEST MIDNAPORE
ROOPNAGAR
JAMMU AND KASHMIR
KALABURGI GULBARGA
WARANGAL
KULGAM
LEH LADAKH
BOUDH
ADILABAD DISTRICT
SOUTH WEST
BARA BANKI
GURUGRAM
MARIGAON
CHAPRA
ANDAMAN
JOGULAMBA GADWAL
REASI
NORTH EAST
KHARGONE WEST NIMAR
TIRUPATTUR
NAGERCOIL
MIDNAPUR WEST
NORTHEAST
BADAUN
SONEPUR
GODAVARI
DHALAI DISTRICT
DINAJPUR
SRINAGAR
UDALGURI DARRANG
RAJOURI
SRIKAKULAM DISTRICT
MINICOY
NUH
SRI MUKTSAR SAHIB
NALGONDA DISTRICT
MAHBUBNAGAR DISTRICT
MYSURU
KALABURGI
COOCH BIHAR
DIU DAMAN
KHAMMAM DISTRICT
EAST JAINTIA HILLS
NIMACH
ARIYALUR PERAMBALUR
DODA
MEDAK
SOUTH
KHANDWA EAST NIMAR
MIDNAPORE WEST
KALABURAGI
VILLUPURAM KALLAKURICHI
VIJAYAPURA
AHMEDABAD
BERHAMPUR
UTTAR PRADESH
KAWARDHA
NARSINGHPUR
BURDWAN
RAEBAREILLY
JANJGIR
TAPI SURAT
OSMANABAD MAHARASHTRA
TRIVANDRUM
WAYANAD KALPETTA
MAHBUBNAGAR
BELAGAVI
BALLARI
DEOGARH
MAHABUBABAD
GADCHIROLI
AIZAWL WEST
CHIKKAMAGALURU
JANJGIR CHAMPA
VELLORERANIPET
ANANTAPUR DISTRICT
DHOLPUR
SONITPUR TEZPUR
RANGAREDDY DISTRICT
KANKER
BALURGHAT
SOUTH WEST DISTRICT
BHUBANESHWAR
SEPPA TOWN
SABARKANTHA
MOHALI
ADILABAD
EAST
SAHEBGANJ
WARANGAL URBAN
BARAMULA
SINGTAM
HYDERABAD DISTRICT
EAST IMPHAL WEST IMPHAL
SOUTHWEST
SARAIKELA KHARSAWAN
TUMAKURU
DAKSHIN BASTAR DANTEWADA
KISHTWAR
MANGALORE
KUTCH
MEDAK DISTRICT
DINDIGUL PALANI
KADAPA
PRAKASAM DISTRICT
AGARTALA
PRATAP NAGAR
WEST GODAVARI DISTRICT
VIJAPURA
BISHNUPUR
KHARGONE
PONDICHERRY
KURNOOL DISTRICT
NAWANSHAHR
CENTRAL DELHI
RANGAREDDY
DAMAN AND DIU
KAIMUR BHABUA
PUDUCHERRY KARAIKAL
DAMAN
NORTH AND MIDDLE ANDAMAN
GUNTUR DISTRICT
HOWRAH
EAST SINGHBHUM
NAWAPARA
KATHUA
WANAPARTHY
RAMANATHAPURAMPARAMAKUDI
MIDNAPORE EAST
SHIVAMOGGA
NANDYAL
RIBHOI
KEONJHAR
TRICHY
SBS NAGAR
MIDNAPORE
SRI POTTI SRIRAMULU NELLORE DISTRICT
DARJEELING
SOUTH DISTRICT
SRI POTTI SRIRAMULU NELLORE
SHEOPUR KALAN
CHITTORGARH
NIZAMABAD DISTRICT
SANGAREDDY
KAVARATTI ISLAND
MAHABOOBNAGAR
KALLAKURICHI
CUDDAPAH
RAMANATHAPURAM PARAMAKUDI
TOWNS ARE SPREAD OVER IN MORE THAN ONE DISTRICT
SOUTH DELHI
PAURI GARHWAL
WEST JAINTIA HILLS
NAYABASTI
MEDCHAL
KOTPUTLI
SAS NAGAR
VIJAYAPUR
KAMAREDDY
MEDINIPUR
KARGIL
RAJANNA SIRCILLA
RAEBARELI
VIRUDHUNAGAR SIVAKASI
CHHOTA UDEPUR
SHIYOMI
RIBHOI NONGPOH
NEW DELHI
SIBSAGAR
JHARGRAM
LOHARDA
PAURI
RAJAURI
VIZIANAGARAM DISTRICT
HOOGHLY
DARRANG MANGALDOI
SURYAPET
KRISHNA DISTRICT
KRA DAADI
SAIDAPET
DIMA HASAO DISTRICT
SHOPIAN
CHITTOOR DISTRICT
UDHAMPUR
JUNAGARH
MANIPUR
UNAKOTI
WARANGAL DISTRICT
DADRA NAGAR HAVELI
AIZAWL EAST
TEHRI
MUMBAI
BANDIPORA
BBMP
TENGNOUPAL
BEED
TENKASI
TOWNS ARE SPREAD OVER IN MORE THEN ONE DISTRICT
LEHLADAKH
FEROZEPUR
NORTH DELHI
PULWAMA
TUTICORIN
PANCHMAHAL
GANGTOK
TENKASI TIRUNELVELI
VISAKHAPATNAM DISTRICT
JAMMU
EAST CHAMPARAN
BALASORE
YAMUNA NAGAR
WEST MEDINIPUR
PURBA BARDHAMAN
NALGONDA
BOLANGIR
RAIGAD
RAMPURHAT
KALBURGI
DARJEELING JALPAIGURI
WEST CHAMPARAN
NARNAUL
KARBIANGLONG
DINDIGULPALANI
NORTH
KHANDWA
KHAMMAM
